Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Attention Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,MAX RF,Family,Architecture,Crop Percentage
adv_inception_v3,23834568,300,0,94,1,0,2,94,0,0,1000,ImageNet-1K,48,Mixed_6c.branch7x7dbl_2.conv,4719,inception_v3,adv_inception_v3,0.875
bat_resnext26ts,10731200,414,0,79,1,8,1,63,0,0,1000,ImageNet-1K,57,stages.2.1.attn.ba.conv_p,5799,resnext,bat_resnext26ts,0.9
beit_base_patch16_224,86530984,189,0,1,49,0,0,25,0,12,1000,ImageNet-1K,1,patch_embed.proj,16,beit,beit_base_patch16_224,0.9
beit_base_patch16_224.in22k_ft_in22k,102557713,189,0,1,49,0,0,25,0,12,21841,ImageNet-21K,1,patch_embed.proj,16,beit,beit_base_patch16_224_in22k,0.9
beit_base_patch16_384,86744104,189,0,1,49,0,0,25,0,12,1000,ImageNet-1K,1,patch_embed.proj,16,beit,beit_base_patch16_384,1.0
beit_large_patch16_224,304430568,369,0,1,97,0,0,49,0,24,1000,ImageNet-1K,1,patch_embed.proj,16,beit,beit_large_patch16_224,0.9
beit_large_patch16_224.in22k_ft_in22k,325792593,369,0,1,97,0,0,49,0,24,21841,ImageNet-21K,1,patch_embed.proj,16,beit,beit_large_patch16_224_in22k,0.9
beit_large_patch16_384,304998888,369,0,1,97,0,0,49,0,24,1000,ImageNet-1K,1,patch_embed.proj,16,beit,beit_large_patch16_384,1.0
beit_large_patch16_512,305674728,369,0,1,97,0,0,49,0,24,1000,ImageNet-1K,1,patch_embed.proj,16,beit,beit_large_patch16_512,1.0
beitv2_base_patch16_224,86530984,189,0,1,49,0,0,25,0,12,1000,ImageNet-1K,1,patch_embed.proj,16,beitv2,beitv2_base_patch16_224,0.9
beitv2_base_patch16_224.in1k_ft_in22k,102557713,189,0,1,49,0,0,25,0,12,21841,ImageNet-21K,1,patch_embed.proj,16,beitv2,beitv2_base_patch16_224_in1k,0.9
beitv2_large_patch16_224,304430568,369,0,1,97,0,0,49,0,24,1000,ImageNet-1K,1,patch_embed.proj,16,beitv2,beitv2_large_patch16_224,0.95
beitv2_large_patch16_224.in1k_ft_in22k,325792593,369,0,1,97,0,0,49,0,24,21841,ImageNet-21K,1,patch_embed.proj,16,beitv2,beitv2_large_patch16_224_in1k,0.9
botnet26t_256,12488672,222,0,31,1,8,2,31,0,0,1000,ImageNet-1K,10,stages.0.1.conv2_kxk.conv,143,botnet,botnet26t_256,0.95
cait_m36_384,271221352,655,0,1,229,0,0,77,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_m36_384,1.0
cait_m48_448,356460520,859,0,1,301,0,0,101,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_m48_448,1.0
cait_s24_224,46916200,451,0,1,157,0,0,53,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_s24_224,1.0
cait_s24_384,47062120,451,0,1,157,0,0,53,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_s24_384,1.0
cait_s36_384,68366632,655,0,1,229,0,0,77,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_s36_384,1.0
cait_xs24_384,26670088,451,0,1,157,0,0,53,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_xs24_384,1.0
cait_xxs24_224,11956264,451,0,1,157,0,0,53,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_xxs24_224,1.0
cait_xxs24_384,12029224,451,0,1,157,0,0,53,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_xxs24_384,1.0
cait_xxs36_224,17299720,655,0,1,229,0,0,77,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_xxs36_224,1.0
cait_xxs36_384,17372680,655,0,1,229,0,0,77,0,0,1000,ImageNet-1K,1,patch_embed.proj,16,cait,cait_xxs36_384,1.0
coat_lite_mini,11011560,167,0,20,33,0,0,21,0,0,1000,ImageNet-1K,10,crpe1.conv_list.1,1824,coat,coat_lite_mini,0.9
coat_lite_small,19838504,287,0,20,65,0,0,37,0,0,1000,ImageNet-1K,10,crpe1.conv_list.1,1824,coat,coat_lite_small,0.9
